A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0795340538025  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0588369369507  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0701198577881  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0623998641968  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0783979892731  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0320241451263  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0439989566803  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0321810245514  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0473051071167  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0598549842834  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0776059627533  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0626828670502  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.073851108551  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.063502073288  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0750839710236  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0334050655365  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0437338352203  
A1WTCIR3R0HSEP VERIFY_SIGNATURE TotalTime 0.000179052352905  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.115437030792  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.136051893234  
A1WTCIR3R0HSEP VERIFY_SIGNATURE TotalTime 0.000229120254517  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.124091148376  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.13741517067  
A1WTCIR3R0HSEP SIGN_AND_ENCRYPT TotalTime 0.0583529472351  
A1WTCIR3R0HSEP GET_PAYMENT_URL TotalTime 0.0712249279022  
